SITE,PLOT,Notes,PD_code
3,6,52 Rocks 5-50cm,52
3,6,55 Rock outcp.>5m,55
3,6,57 Rock ledges,57
3,6,58 Bryo.covd.rock,58
3,6,62 Exp.min.soil,62
3,6,75 Gld.5-12m,75
3,6,79 Path <5m,79
3,6,81 Track non prop,81
3,6,93 Rhodo.thkt.,93
3,6,109 Horse/pony,109
3,7,19 Birch,19
3,7,25 Oak,25
3,7,28 Sweet chestnut,28
3,7,29 Sycamore,29
3,7,44 Bryo.trunk,44
3,7,51 Stone.<5cm,51
3,7,52 Rocks 5-50cm,52
3,7,55 Rock outcp.>5m,55
3,7,57 Rock ledges,57
3,7,58 Bryo.covd.rock,58
3,7,79 Path <5m,79
3,7,93 Rhodo.thkt.,93
3,7,99 Bracken dense,99
3,8,7 Cop. Stool,7
3,8,26 Rowan,26
3,8,38 Fall. bnh.>10cm,38
3,8,43 Bryo.base,43
3,8,46 Lichen trunk,46
3,8,47 Lichen branch,47
3,8,49 Ivy,49
3,8,51 Stone.<5cm,51
3,8,52 Rocks 5-50cm,52
3,8,54 Scree,54
3,8,62 Exp.min.soil,62
3,8,101 Ferm bank,101
3,8,103 Leaf drift,103
3,8,105 Macfungi.soil,105
3,8,112 Other deer,112
3,8,113 Rabbit,113
3,9,7 Cop. Stool,7
3,9,18 Beech,18
3,9,38 Fall. bnh.>10cm,38
3,9,43 Bryo.base,43
3,9,44 Bryo.trunk,44
3,9,46 Lichen trunk,46
3,9,49 Ivy,49
3,9,51 Stone.<5cm,51
3,9,52 Rocks 5-50cm,52
3,9,54 Scree,54
3,9,62 Exp.min.soil,62
3,9,103 Leaf drift,103
3,9,113 Rabbit,113
3,10,7 Cop. Stool,7
3,10,19 Birch,19
3,10,27 Rhododendron,27
3,10,43 Bryo.base,43
3,10,46 Lichen trunk,46
3,10,52 Rocks 5-50cm,52
3,10,99 Bracken dense,99
3,11,7 Cop. Stool,7
3,11,18 Beech,18
3,11,22 Holly,22
3,11,29 Sycamore,29
3,11,35 Fallen brkn,35
3,11,38 Fall. bnh.>10cm,38
3,11,44 Bryo.trunk,44
3,11,46 Lichen trunk,46
3,11,49 Ivy,49
3,11,51 Stone.<5cm,51
3,11,52 Rocks 5-50cm,52
3,11,52 Boulders >50cm,52
3,11,54 Scree,54
3,11,55 Rock outcp.>5m,55
3,11,57 Rock ledges,57
3,11,58 Bryo.covd.rock,58
3,11,62 Exp.min.soil,62
3,11,79 Path <5m,79
3,11,81 Track non prop,81
3,11,109 Horse/pony,109
3,12,7 Cop. Stool,7
3,12,27 Rhododendron,27
3,12,36 Fallen uprtd.,36
3,12,38 Fall. bnh.>10cm,38
3,12,43 Bryo.base,43
3,12,44 Bryo.trunk,44
3,12,46 Lichen trunk,46
3,12,49 Ivy,49
3,12,51 Stone.<5cm,51
3,12,52 Rocks 5-50cm,52
3,12,54 Scree,54
3,12,58 Bryo.covd.rock,58
3,12,62 Exp.min.soil,62
3,12,101 Ferm bank,101
3,12,103 Leaf drift,103
3,13,7 Cop. Stool,7
3,13,27 Rhododendron,27
3,13,44 Bryo.trunk,44
3,13,75 Gld.5-12m,75
3,13,76 Gld.>12m,76
3,13,99 Bracken dense,99
3,14,19 Birch,19
3,14,27 Rhododendron,27
3,14,93 Rhodo.thkt.,93
3,14,99 Bracken dense,99
3,14,104 Herb veg.>1m,104
3,15,7 Cop. Stool,7
3,15,10 Stump hard.new,10
3,15,22 Holly,22
3,15,43 Bryo.base,43
3,15,44 Bryo.trunk,44
3,15,46 Lichen trunk,46
3,15,47 Lichen branch,47
3,15,49 Ivy,49
3,15,51 Stone.<5cm,51
3,15,52 Rocks 5-50cm,52
3,15,62 Exp.min.soil,62
3,15,75 Gld.5-12m,75
3,15,99 Bracken dense,99
3,16,7 Cop. Stool,7
3,16,19 Birch,19
3,16,22 Holly,22
3,16,27 Rhododendron,27
3,16,34 Other con.,34
3,16,41 Stump<10cm,41
3,16,44 Bryo.trunk,44
3,16,46 Lichen trunk,46
3,16,47 Lichen branch,47
3,16,62 Exp.min.soil,62
3,16,75 Gld.5-12m,75
3,16,93 Rhodo.thkt.,93
3,16,99 Bracken dense,99
4,1,7 Cop. Stool,7
4,1,11 Stump hard.old,11
4,1,16 Ash,16
4,1,19 Birch,19
4,1,21 Hazel,21
4,1,26 Rowan,26
4,1,35 Fallen brkn,35
4,1,36 Fallen uprtd.,36
4,1,38 Fall. bnh.>10cm,38
4,1,40 Rot hole,40
4,1,42 Stump >10cm,42
4,1,43 Bryo.base,43
4,1,51 Stone.<5cm,51
4,1,58 Bryo.covd.rock,58
4,1,62 Exp.min.soil,62
4,1,100 Moss bank,100
4,1,105 Macfungi.soil,105
4,1,106 Macfungi.wood,106
4,1,112 Other deer,112
4,2,7 Cop. Stool,7
4,2,11 Stump hard.old,11
4,2,16 Ash,16
4,2,19 Birch,19
4,2,20 Hawthorn,20
4,2,21 Hazel,21
4,2,26 Rowan,26
4,2,35 Fallen brkn,35
4,2,36 Fallen uprtd.,36
4,2,38 Fall. bnh.>10cm,38
4,2,42 Stump >10cm,42
4,2,43 Bryo.base,43
4,2,44 Bryo.trunk,44
4,2,51 Stone.<5cm,51
4,2,52 Rocks 5-50cm,52
4,2,58 Bryo.covd.rock,58
4,2,100 Moss bank,100
4,2,112 Other deer,112
4,3,7 Cop. Stool,7
4,3,11 Stump hard.old,11
4,3,16 Ash,16
4,3,19 Birch,19
4,3,26 Rowan,26
4,3,35 Fallen brkn,35
4,3,36 Fallen uprtd.,36
4,3,38 Fall. bnh.>10cm,38
4,3,42 Stump >10cm,42
4,3,43 Bryo.base,43
4,3,44 Bryo.trunk,44
4,3,75 Gld.5-12m,75
4,3,100 Moss bank,100
4,3,105 Macfungi.soil,105
4,3,112 Other deer,112
4,4,7 Cop. Stool,7
4,4,16 Ash,16
4,4,19 Birch,19
4,4,22 Holly,22
4,4,26 Rowan,26
4,4,35 Fallen brkn,35
4,4,36 Fallen uprtd.,36
4,4,37 Leg.v.rotten,37
4,4,40 Rot hole,40
4,4,42 Stump >10cm,42
4,4,43 Bryo.base,43
4,4,44 Bryo.trunk,44
4,4,46 Lichen trunk,46
4,4,62 Exp.min.soil,62
4,4,75 Gld.5-12m,75
4,4,100 Moss bank,100
4,4,101 Ferm bank,101
4,4,112 Other deer,112
4,4,114 Badger,114
4,5,7 Cop. Stool,7
4,5,16 Ash,16
4,5,19 Birch,19
4,5,20 Hawthorn,20
4,5,21 Hazel,21
4,5,26 Rowan,26
4,5,35 Fallen brkn,35
4,5,37 Leg.v.rotten,37
4,5,38 Fall. bnh.>10cm,38
4,5,43 Bryo.base,43
4,5,44 Bryo.trunk,44
4,5,51 Stone.<5cm,51
4,5,52 Rocks 5-50cm,52
4,5,58 Bryo.covd.rock,58
4,5,112 Other deer,112
4,6,7 Cop. Stool,7
4,6,16 Ash,16
4,6,21 Hazel,21
4,6,22 Holly,22
4,6,26 Rowan,26
4,6,40 Rot hole,40
4,6,43 Bryo.base,43
4,6,44 Bryo.trunk,44
4,6,51 Stone.<5cm,51
4,6,52 Rocks 5-50cm,52
4,6,58 Bryo.covd.rock,58
4,6,62 Exp.min.soil,62
4,6,112 Other deer,112
4,7,7 Cop. Stool,7
4,7,16 Ash,16
4,7,21 Hazel,21
4,7,31 Other hrwd.,31
4,7,37 Leg.v.rotten,37
4,7,38 Fall. bnh.>10cm,38
4,7,43 Bryo.base,43
4,7,44 Bryo.trunk,44
4,7,112 Other deer,112
4,7,116 Mole,116
4,8,7 Cop. Stool,7
4,8,16 Ash,16
4,8,20 Hawthorn,20
4,8,21 Hazel,21
4,8,31 Other hrwd.,31
4,8,38 Fall. bnh.>10cm,38
4,8,39 Hollow tree,39
4,8,40 Rot hole,40
4,8,43 Bryo.base,43
4,8,44 Bryo.trunk,44
4,8,51 Stone.<5cm,51
4,8,52 Rocks 5-50cm,52
4,8,58 Bryo.covd.rock,58
4,8,62 Exp.min.soil,62
4,8,105 Macfungi.soil,105
4,8,112 Other deer,112
4,8,114 Badger,114
4,8,116 Mole,116
4,9,16 Ash,16
4,9,112 Other deer,112
4,10,7 Cop. Stool,7
4,10,16 Ash,16
4,10,19 Birch,19
4,10,43 Bryo.base,43
4,10,75 Gld.5-12m,75
4,10,106 Macfungi.wood,106
4,10,112 Other deer,112
4,10,114 Badger,114
4,12,37 Leg.v.rotten,37
4,12,43 Bryo.base,43
4,12,51 Stone.<5cm,51
4,12,52 Rocks 5-50cm,52
4,12,102 Grass bank,102
4,12,107 Sheep,107
4,13,7 Cop. Stool,7
4,13,16 Ash,16
4,13,19 Birch,19
4,13,22 Holly,22
4,13,26 Rowan,26
4,13,35 Fallen brkn,35
4,13,37 Leg.v.rotten,37
4,13,38 Fall. bnh.>10cm,38
4,13,43 Bryo.base,43
4,13,44 Bryo.trunk,44
4,13,46 Lichen trunk,46
4,13,51 Stone.<5cm,51
4,13,52 Rocks 5-50cm,52
4,13,105 Macfungi.soil,105
4,13,112 Other deer,112
4,14,7 Cop. Stool,7
4,14,16 Ash,16
4,14,37 Leg.v.rotten,37
4,14,38 Fall. bnh.>10cm,38
4,14,42 Stump >10cm,42
4,14,43 Bryo.base,43
4,14,45 Bryo.branch,45
4,14,112 Other deer,112
4,14,116 Mole,116
4,15,7 Cop. Stool,7
4,15,11 Stump hard.old,11
4,15,16 Ash,16
4,15,38 Fall. bnh.>10cm,38
4,15,42 Stump >10cm,42
4,15,43 Bryo.base,43
4,15,44 Bryo.trunk,44
4,15,51 Stone.<5cm,51
4,15,52 Rocks 5-50cm,52
4,15,62 Exp.min.soil,62
4,15,105 Macfungi.soil,105
4,15,112 Other deer,112
4,16,7 Cop. Stool,7
4,16,11 Stump hard.old,11
4,16,16 Ash,16
4,16,19 Birch,19
4,16,21 Hazel,21
4,16,26 Rowan,26
4,16,35 Fallen brkn,35
4,16,40 Rot hole,40
4,16,42 Stump >10cm,42
4,16,43 Bryo.base,43
4,16,44 Bryo.trunk,44
4,16,45 Bryo.branch,45
4,16,46 Lichen trunk,46
4,16,51 Stone.<5cm,51
4,16,112 Other deer,112
5,1,,62
5,2,,62
5,2,,81
5,3,,7
5,3,,11
5,3,,20
5,3,,22
5,3,,42
5,3,,43
5,3,,99
5,3,,112
5,3,,113
5,3,,105
5,4,,37
5,4,,38
5,4,,94
5,4,,99
5,4,,103
5,4,,112
5,4,,105
5,5,,7
5,5,,13
5,5,,112
5,5,,31
5,5,,42
5,5,,43
5,5,,94
5,5,,105
5,6,,34
5,7,,7
5,7,,16
5,7,,35
5,7,,37
5,7,,38
5,7,,50
5,7,,112
5,7,,81
5,7,,106
5,8,,16
5,8,,37
5,8,,39
5,8,,43
5,8,,44
5,8,,45
5,8,,46
5,8,,114
5,8,,120
5,9,,7
5,9,,11
5,9,,16
5,9,,31
5,9,,36
5,9,,37
5,9,,43
5,9,,44
5,9,,95
5,9,,120
5,9,,121
5,10,,62
5,11,,62
5,12,,7
5,12,,20
5,12,,29
5,12,,43
5,12,,44
5,12,,95
5,13,,7
5,13,,36
5,13,,37
5,13,,43
5,13,,44
5,13,,86
5,13,,112
5,13,,106
5,14,,62
5,15,,7
5,15,,11
5,15,,21
5,15,,31
5,15,,42
5,15,,43
5,15,,44
5,15,,81
5,15,,86
5,15,,95
5,15,,100
5,15,,112
5,15,,105
5,16,,7
5,16,,11
5,16,,21
5,16,,22
5,16,,42
5,16,,43
5,16,,44
5,16,,62
5,16,,79
5,16,,113
5,16,,114
6,1,,11
6,1,,16
6,1,,22
6,1,,35
6,1,,37
6,1,,38
6,1,,43
6,1,,44
6,1,,46
6,1,,49
6,1,,105
6,1,,99
6,1,,104
6,2,,16
6,2,,29
6,2,,35
6,2,,43
6,2,,44
6,2,,46
6,2,,49
6,2,,90
6,2,,95
6,2,,106
6,3,,7
6,3,,11
6,3,,16
6,3,,22
6,3,,29
6,3,,36
6,3,,37
6,3,,38
6,3,,42
6,3,,43
6,3,,44
6,3,,46
6,3,,49
6,3,,79
6,3,,100
6,3,,112
6,3,,114
6,4,,7
6,4,,8
6,4,,11
6,4,,16
6,4,,18
6,4,,20
6,4,,22
6,4,,31
6,4,,35
6,4,,38
6,4,,42
6,4,,43
6,4,,44
6,4,,46
6,4,,49
6,4,,71
6,4,,112
6,4,,120
6,5,,11
6,5,,16
6,5,,21
6,5,,22
6,5,,38
6,5,,42
6,5,,43
6,5,,44
6,5,,46
6,5,,94
6,5,,112
6,5,many ticks!,121
6,6,,7
6,6,,11
6,6,,16
6,6,,20
6,6,,22
6,6,,26
6,6,,36
6,6,,38
6,6,,42
6,6,,43
6,6,,44
6,6,,46
6,6,,49
6,6,,90
6,6,,100
6,6,,113
6,7,,11
6,7,,16
6,7,,20
6,7,,22
6,7,,29
6,7,,37
6,7,,42
6,7,,43
6,7,,44
6,7,,45
6,7,,46
6,7,,49
6,7,,72
6,7,,100
6,7,,116
6,8,,7
6,8,,8
6,8,,11
6,8,,16
6,8,,20
6,8,,22
6,8,,37
6,8,,38
6,8,,43
6,8,,44
6,8,,45
6,8,,46
6,8,,48
6,8,,49
6,8,,50
6,8,,71
6,8,,86
6,8,,106
6,8,,112
6,9,,7
6,9,,11
6,9,,16
6,9,,20
6,9,,22
6,9,,42
6,9,,43
6,9,,44
6,9,,45
6,9,,46
6,9,,49
6,9,,72
6,9,,105
6,10,,7
6,10,,11
6,10,,19
6,10,,25
6,10,,31
6,10,,37
6,10,,38
6,10,,43
6,10,,44
6,10,,46
6,10,,71
6,11,,10
6,11,,11
6,11,,12
6,11,,19
6,11,,25
6,11,,31
6,12,,10
6,12,,12
6,12,,16
6,12,,19
6,12,,25
6,12,,35
6,12,,38
6,12,,42
6,12,,46
6,13,,7
6,13,,9
6,13,,11
6,13,,12
6,13,,13
6,13,,19
6,13,,22
6,13,,25
6,13,,31
6,13,,43
6,13,,44
6,13,,49
6,13,,105
6,13,,112
6,14,,7
6,14,,9
6,14,,11
6,14,,16
6,14,,25
6,14,,41
6,14,,42
6,14,,43
6,14,,44
6,14,,46
6,14,,49
6,14,,71
6,14,,75
6,14,,94
6,15,,7
6,15,,8
6,15,,9
6,15,,10
6,15,,11
6,15,,16
6,15,,20
6,15,,22
6,15,,36
6,15,,41
6,15,,42
6,15,,43
6,15,,44
6,15,,49
6,15,,72
6,15,,94
6,15,,112
6,16,,7
6,16,,9
6,16,,11
6,16,,16
6,16,,20
6,16,,22
6,16,,25
6,16,,31
6,16,,38
6,16,,43
6,16,,44
6,16,,46
6,16,,49
6,16,,94
6,16,,112
7,1,7 Cop. Stool,7
7,1,35 Fallen brkn,35
7,1,37 Leg.v.rotten,37
7,1,38 Fall. bnh.>10cm,38
7,1,39 Hollow tree,39
7,1,40 Rot hole,40
7,1,42 Stump >10cm,42
7,1,43 Bryo.base,43
7,1,44 Bryo.trunk,44
7,1,49 Ivy,49
7,1,50 Macrofungi,50
7,1,52 Rocks 5-50cm,52
7,1,52 Boulders >50cm,52
7,1,58 Bryo.covd.rock,58
7,1,62 Exp.min.soil,62
7,1,106 Macfungi.wood,106
7,2,7 Cop. Stool,7
7,2,11 Stump hard.old,11
7,2,35 Fallen brkn,35
7,2,37 Leg.v.rotten,37
7,2,38 Fall. bnh.>10cm,38
7,2,39 Hollow tree,39
7,2,40 Rot hole,40
7,2,42 Stump >10cm,42
7,2,43 Bryo.base,43
7,2,44 Bryo.trunk,44
7,2,48 Ferm,48
7,2,49 Ivy,49
7,2,52 Rocks 5-50cm,52
7,2,58 Bryo.covd.rock,58
7,2,62 Exp.min.soil,62
7,2,114 Badger,114
7,3,7 Cop. Stool,7
7,3,35 Fallen brkn,35
7,3,36 Fallen uprtd.,36
7,3,38 Fall. bnh.>10cm,38
7,3,43 Bryo.base,43
7,3,44 Bryo.trunk,44
7,3,52 Rocks 5-50cm,52
7,3,62 Exp.min.soil,62
7,3,106 Macfungi.wood,106
7,4,7 Cop. Stool,7
7,4,11 Stump hard.old,11
7,4,37 Leg.v.rotten,37
7,4,38 Fall. bnh.>10cm,38
7,4,39 Hollow tree,39
7,4,40 Rot hole,40
7,4,42 Stump >10cm,42
7,4,43 Bryo.base,43
7,4,44 Bryo.trunk,44
7,4,51 Stone.<5cm,51
7,4,52 Rocks 5-50cm,52
7,4,58 Bryo.covd.rock,58
7,4,62 Exp.min.soil,62
7,5,7 Cop. Stool,7
7,5,11 Stump hard.old,11
7,5,22 Holly,22
7,5,35 Fallen brkn,35
7,5,37 Leg.v.rotten,37
7,5,38 Fall. bnh.>10cm,38
7,5,42 Stump >10cm,42
7,5,43 Bryo.base,43
7,5,44 Bryo.trunk,44
7,5,45 Bryo.branch,45
7,5,46 Lichen trunk,46
7,5,49 Ivy,49
7,5,52 Rocks 5-50cm,52
7,5,59 Gully,59
7,5,62 Exp.min.soil,62
7,5,87 Soil excav.,87
7,5,90 Rubbish other,90
7,6,7 Cop. Stool,7
7,6,35 Fallen brkn,35
7,6,38 Fall. bnh.>10cm,38
7,6,40 Rot hole,40
7,6,43 Bryo.base,43
7,6,44 Bryo.trunk,44
7,6,45 Bryo.branch,45
7,6,46 Lichen trunk,46
7,6,52 Rocks 5-50cm,52
7,6,52 Boulders >50cm,52
7,6,58 Bryo.covd.rock,58
7,6,60 Rock piles,60
7,6,62 Exp.min.soil,62
7,7,7 Cop. Stool,7
7,7,35 Fallen brkn,35
7,7,37 Leg.v.rotten,37
7,7,38 Fall. bnh.>10cm,38
7,7,43 Bryo.base,43
7,7,49 Ivy,49
7,7,52 Rocks 5-50cm,52
7,7,52 Boulders >50cm,52
7,7,58 Bryo.covd.rock,58
7,7,60 Rock piles,60
7,7,62 Exp.min.soil,62
7,7,100 Moss bank,100
7,7,116 Mole,116
7,8,7 Cop. Stool,7
7,8,22 Holly,22
7,8,35 Fallen brkn,35
7,8,37 Leg.v.rotten,37
7,8,39 Hollow tree,39
7,8,43 Bryo.base,43
7,8,44 Bryo.trunk,44
7,8,46 Lichen trunk,46
7,8,49 Ivy,49
7,8,52 Rocks 5-50cm,52
7,8,52 Boulders >50cm,52
7,8,55 Rock outcp.>5m,55
7,8,58 Bryo.covd.rock,58
7,8,60 Rock piles,60
7,8,62 Exp.min.soil,62
7,8,100 Moss bank,100
7,9,76 Gld.>12m,76
7,9,94 Bramble clump,94
7,9,102 Grass bank,102
7,10,38 Fall. bnh.>10cm,38
7,10,43 Bryo.base,43
7,10,46 Lichen trunk,46
7,10,47 Lichen branch,47
7,10,76 Gld.>12m,76
7,10,102 Grass bank,102
7,10,108 Cattle,108
7,11,76 Gld.>12m,76
7,11,102 Grass bank,102
7,11,108 Cattle,108
7,12,37 Leg.v.rotten,37
7,12,38 Fall. bnh.>10cm,38
7,12,43 Bryo.base,43
7,12,44 Bryo.trunk,44
7,12,46 Lichen trunk,46
7,12,52 Rocks 5-50cm,52
7,12,58 Bryo.covd.rock,58
7,12,62 Exp.min.soil,62
7,12,76 Gld.>12m,76
7,12,81 Track non prop,81
7,12,102 Grass bank,102
7,12,108 Cattle,108
7,13,76 Gld.>12m,76
7,13,81 Track non prop,81
7,13,102 Grass bank,102
7,13,108 Cattle,108
7,14,7 Cop. Stool,7
7,14,11 Stump hard.old,11
7,14,22 Holly,22
7,14,37 Leg.v.rotten,37
7,14,38 Fall. bnh.>10cm,38
7,14,40 Rot hole,40
7,14,43 Bryo.base,43
7,14,44 Bryo.trunk,44
7,14,45 Bryo.branch,45
7,14,46 Lichen trunk,46
7,14,52 Rocks 5-50cm,52
7,14,58 Bryo.covd.rock,58
7,14,62 Exp.min.soil,62
7,15,7 Cop. Stool,7
7,15,11 Stump hard.old,11
7,15,35 Fallen brkn,35
7,15,37 Leg.v.rotten,37
7,15,38 Fall. bnh.>10cm,38
7,15,42 Stump >10cm,42
7,15,43 Bryo.base,43
7,15,44 Bryo.trunk,44
7,15,46 Lichen trunk,46
7,15,52 Rocks 5-50cm,52
7,15,58 Bryo.covd.rock,58
7,15,62 Exp.min.soil,62
7,15,89 Rubbish dom.,89
7,15,114 Badger,114
7,15,120 Spent ctrdgs.,120
7,16,7 Cop. Stool,7
7,16,11 Stump hard.old,11
7,16,35 Fallen brkn,35
7,16,37 Leg.v.rotten,37
7,16,38 Fall. bnh.>10cm,38
7,16,42 Stump >10cm,42
7,16,43 Bryo.base,43
7,16,44 Bryo.trunk,44
7,16,52 Rocks 5-50cm,52
7,16,52 Boulders >50cm,52
7,16,58 Bryo.covd.rock,58
7,16,62 Exp.min.soil,62
7,16,100 Moss bank,100
8,1,"Broad ride through woodland.  Woodland to the west largely cleared and thinned c15 years ago with much Rubus, Rosa and Corylus regeneration.  Less dense to the east.",7
8,1,,20
8,1,,43
8,1,,62
8,1,,71
8,1,,80
8,1,,96
8,1,,94
8,1,,115
8,1,,119
8,1,,112
8,2,,7
8,2,,31
8,2,,43
8,3,,42
8,3,,43
8,3,,45
8,3,,71
8,3,,96
8,3,,116
8,4,,7
8,4,,16
8,4,,25
8,4,,43
8,4,,94
8,4,,112
8,5,"This part of the wood was cleared and thinned c15 years ago, leaving dense, regenerating, hedge-like rows of Prunus spinosa, Salix cinerea, Rubus etc, with intervening areas dominated by Carex pendula, Calamagrostis etc.  Quercus robur planted.",16
8,5,,25
8,5,,31
8,5,,43
8,5,,91
8,5,,94
8,5,,116
8,6,"Shrub layer cleared c15 years ago, ash canopy thinned.  Dense regeneration of Rosa, Rubus and Corylus coppice.  Quercus planted.",7
8,6,,16
8,6,,25
8,6,,44
8,6,,43
