"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"42",NA,0.05,0.22,0.135,0.305,0.22,0.08,0.365,0.18,0.09,0.48,0.71,0.085,0.19,0.36,0.11
"43",0.07,NA,0.035,NA,NA,0.11,0.13,0.21,0.095,NA,NA,0.22,0.01,0.085,0.035,0.285
"44",NA,NA,NA,NA,NA,NA,NA,0.025,NA,0.285,0.12,0.405,0.235,0.09,0.1,0.215
"45",0.605,0.175,0.965,0.83,0.65,1.01,NA,0.375,0.11,0.245,0.13,0.14,0.1,0.08,0.22,0.51
"46",0.28,NA,0.455,0.375,0.485,NA,0.74,NA,0.28,0.33,0.015,0.4,0.245,0.16,0.565,NA
"47",0.215,0.26,0.54,0.215,0.185,0.065,0.775,0.25,0.41,0.14,0.25,0.04,0.08,NA,NA,0.12
"48",0.675,0.49,0.6,0.825,1.015,1.225,NA,0.75,0.585,NA,1.16,0.37,0.385,0.89,0.65,0.47
"49",0.32,0.485,0.34,0.54,0.33,0.455,0.425,0.13,0.26,0.225,0.685,0.395,0.265,0.215,0.14,0.255
"50",0.225,0.64,1.015,0.49,NA,NA,NA,0.525,0.34,0.195,0.23,0.2,0.21,0.245,0.395,0.2
"51",0.83,1.32,0.8,0.81,1.29,0.74,1.06,1.09,0.89,1.13,1.16,1.12,1.34,0.83,1.17,1.09
"52",0.64,0.515,0.345,0.61,0.845,0.415,0.395,0.25,0.545,0.305,0.28,0.415,0.47,0.385,0.455,0.36
"53",0.07,0.005,0.96,0.795,0.335,0.595,0.545,0.635,NA,0.23,0.255,0.35,0.225,0.315,0.845,0.51
"54",0.065,0.03,0.305,0.425,0.08,0.19,0.07,NA,0.085,0.36,0.13,0.145,0.355,0.135,0.135,0.04
"55",0.895,0.54,0.475,0.72,0.925,0.72,0.49,0.445,0.55,0.315,0.435,0.32,0.875,0.69,0.38,1.13
"56",0.53,0.955,0.66,0.425,0.21,0.34,0.485,0.205,0.335,0.325,0.605,0.445,0.275,0.23,0.38,0.285
"57",1.15,1.405,0.68,0.99,1.025,0.515,NA,0.36,0.26,1.665,NA,0.265,0.7,0.57,0.5,1.005
"58",0.445,0.615,0.205,0.08,0.42,0.31,0.765,0.235,0.29,0.34,0.2,0.285,0.555,0.335,0.245,NA
"59",NA,NA,0.22,0.04,0.275,0.205,0.45,NA,0.095,0.315,0.42,0.385,0.49,0.43,0.37,NA
"60",0.62,NA,1.4,0.73,1.045,0.155,0.665,0.55,1.095,0.38,0.385,0.59,0.85,0.875,0.67,0.735
"61",0.47,0.16,0.505,0.39,0.155,0.31,1.37,0.875,0.37,0.465,0.32,0.37,0.68,0.53,0.3,0.445
"62",0.245,NA,0.21,0.29,0.145,NA,0.175,0.07,0.105,NA,NA,NA,0.02,0.42,0.21,0.295
"63",0.57,0.34,0.805,0.45,0.515,0.62,0.485,0.32,0.61,0.215,0.19,0.515,0.215,NA,0.55,0.615
"64",NA,0.05,NA,0.39,0.095,NA,0.24,0.3,0.13,0.09,NA,0.26,0.46,0.245,0.195,0.085
"65",0.415,0.275,0.705,0.24,0.43,0.525,0.43,0.45,0.515,0.435,0.42,0.43,0.265,0.5,0.415,0.75
"66",0.18,0.185,0.155,0.185,0.52,0.54,0.44,0.17,0.145,NA,0.255,0.43,0.085,0.32,0.33,0.815
"67",0.435,0.45,0.34,0.165,0.435,0.195,0.2,0.385,0.395,0.56,0.055,0.015,0.035,0.06,0.03,0.205
"68",0.25,0.39,0.26,0.25,0.35,0.28,0.445,0.49,0.31,0.175,0.275,0.4,0.435,0.23,0.13,0.355
"69",0.45,0.22,0.215,0.125,0.315,0.14,0.305,0.62,0.275,0.47,0.48,0.29,0.225,0.625,0.36,NA
"70",0.34,0.6,0.19,0.16,0.16,0.275,0.135,0.185,0.24,0.14,0.165,0.235,0.27,0.15,0.01,0.335
"71",0.935,1.265,0.395,1.24,1.335,1.39,0.36,0.65,1.35,0.61,0.85,1.59,0.82,1.105,1.175,1.345
"72",0.2,0.165,0.25,0.24,0.26,0.355,0.24,0.085,0.2,0.27,0.24,0.335,0.11,0.42,0.155,0.095
"73",0.21,0.2,0.115,0.23,0.38,0.13,0.205,0.235,NA,0.27,0.13,0.125,0.175,0.17,0.135,0.19
"74",0.125,0.12,0.385,0.305,0.27,0.225,0.23,0.15,0.04,0.075,NA,NA,0.13,0.345,NA,NA
"75",0.885,0.775,0.975,0.38,0.49,0.265,0.645,0.415,0.53,0.365,0.795,0.36,0.6,0.57,0.65,0.55
"76",NA,NA,0.475,0.185,NA,NA,0.06,0.09,0.055,0.105,0.04,0.185,NA,0.125,0.025,NA
"77",NA,0.19,0.185,0.245,0.17,0.22,0.225,0.32,0.225,0.455,0.345,0.1,0.295,0.175,0.145,NA
"78",0.725,0.23,0.175,0.33,0.22,0.31,0.44,0.34,0.5,0.35,0.33,0.05,0.175,0.045,0.46,0.55
