All values are natural log 
"insectivorous","piscivorous","planktivorous","predacious","predacious/piscivorous"
"Prey.mass.means",-9.88425018851949,1.63552827510992,-12.5130564338295,-3.46728830472342,2.41088614444964
"Predator.mass.means",-0.19768531886863,7.71223438647515,-2.8444155291803,4.77986971956941,6.06403752213459
"PredPrey.mass.means",9.68656486965086,6.07670611136523,9.66864090464924,8.24715802429282,3.65315137768494
"Prey.mass.median",-10.0267857688806,1.81807677754543,-13.9524764130374,-1.66600826392249,2.61006979274201
"Predator.mass.median",-10.0267857688806,1.81807677754543,-13.9524764130374,-1.66600826392249,2.61006979274201
"PredPrey.mass.median",9.68656486965086,6.07670611136523,9.66864090464924,8.24715802429282,3.65315137768494
