Species,LeafLength,LeafWidth,WidestPoint,Angle,LeafRatio,WidestPercent,Lobing,Veins,FruitLength,FruitWidth,FruitRatio
Anglica,,,,,,,,,9,10,0.90
Anglica,,,,,,,,,11,9,1.22
Anglica,,,,,,,,,10.5,11,0.95
Anglica,,,,,,,,,10,10,1.00
Anglica,,,,,,,,,10,10,1.00
Anglica,,,,,,,,,10,10,1.00
Anglica,,,,,,,,,11.5,14,0.82
Anglica,,,,,,,,,10.5,12,0.88
Anglica,,,,,,,,,11,13,0.85
Anglica,,,,,,,,,11,12,0.92
Anglica,,,,,,,,,10,12,0.83
Anglica,,,,,,,,,11,11,1.00
Anglica,,,,,,,,,9.5,11.5,0.83
Anglica,,,,,,,,,10,12,0.83
Anglica,,,,,,,,,11,12,0.92
Anglica,,,,,,,,,12,13.5,0.89
Anglica,,,,,,,,,12,12,1.00
Anglica,,,,,,,,,12,13,0.92
Anglica,,,,,,,,,11,11,1.00
Anglica,,,,,,,,,11,11,1.00
Anglica,,,,,,,,,10,12,0.83
Anglica,,,,,,,,,11,11.5,0.96
Anglica,,,,,,,,,12,11,1.09
Anglica,,,,,,,,,12,11,1.09
Anglica,,,,,,,,,10.5,13,0.81
Anglica,,,,,,,,,10,11,0.91
Anglica,,,,,,,,,10,10,1.00
Anglica,,,,,,,,,12,11,1.09
Anglica,,,,,,,,,10,10,1.00
Anglica,,,,,,,,,10,11.5,0.87
Anglica,,,,,,,,,10,11,0.91
Anglica,,,,,,,,,10,12,0.83
Anglica,,,,,,,,,9,11,0.82
Anglica,,,,,,,,,10,12,0.83
Anglica,,,,,,,,,9,11.5,0.78
Anglica,,,,,,,,,9,11,0.82
Anglica,,,,,,,,,10,11,0.91
Anglica,,,,,,,,,9.5,11,0.86
Anglica,,,,,,,,,9,12,0.75
Anglica,,,,,,,,,10,10.5,0.95
Cuneifolia,,,,,,,,,11,11,1.00
Cuneifolia,,,,,,,,,11,9.5,1.16
Cuneifolia,,,,,,,,,10,9,1.11
Cuneifolia,,,,,,,,,10.5,10.5,1.00
Cuneifolia,,,,,,,,,11,10,1.10
Cuneifolia,,,,,,,,,11,9,1.22
Cuneifolia,,,,,,,,,10,9,1.11
Cuneifolia,,,,,,,,,12,10.5,1.14
Cuneifolia,,,,,,,,,11,9,1.22
Cuneifolia,,,,,,,,,10,10,1.00
Cuneifolia,,,,,,,,,10,10,1.00
Cuneifolia,,,,,,,,,10,10,1.00
Cuneifolia,,,,,,,,,8,8,1.00
Cuneifolia,,,,,,,,,10,10,1.00
Cuneifolia,,,,,,,,,9.5,9,1.06
Cuneifolia,,,,,,,,,9,10,0.90
Cuneifolia,,,,,,,,,9.5,9,1.06
Cuneifolia,,,,,,,,,11,11,1.00
Cuneifolia,,,,,,,,,11.5,10.5,1.10
Cuneifolia,,,,,,,,,10,9.5,1.05
Cuneifolia,,,,,,,,,10,9.5,1.05
Cuneifolia,,,,,,,,,9.5,9.5,1.00
Cuneifolia,,,,,,,,,10,9.5,1.05
Cuneifolia,,,,,,,,,11,10,1.10
Cuneifolia,,,,,,,,,11,9.5,1.16
Cuneifolia,,,,,,,,,12,11,1.09
Cuneifolia,,,,,,,,,11,12,0.92
Cuneifolia,,,,,,,,,10,9,1.11
Cuneifolia,,,,,,,,,10,10,1.00
Cuneifolia,,,,,,,,,9,9,1.00
Cuneifolia,,,,,,,,,10,10,1.00
Cuneifolia,,,,,,,,,11,11,1.00
Cuneifolia,,,,,,,,,11,10,1.10
Cuneifolia,,,,,,,,,8.5,9,0.94
Cuneifolia,,,,,,,,,10,10,1.00
Cuneifolia,,,,,,,,,10,9.5,1.05
Cuneifolia,,,,,,,,,9.5,10,0.95
Cuneifolia,,,,,,,,,10,10,1.00
Cuneifolia,,,,,,,,,11,10,1.10
Cuneifolia,,,,,,,,,9,9,1.00
Cuneifolia,,,,,,,,,9,8.5,1.06
Cuneifolia,,,,,,,,,9.5,9.5,1.00
Cuneifolia,,,,,,,,,9.5,9,1.06
Cuneifolia,,,,,,,,,10,9.5,1.05
Cuneifolia,,,,,,,,,10,11,0.91
Cuneifolia,,,,,,,,,9.5,9,1.06
Cuneifolia,,,,,,,,,10,10,1.00
Cuneifolia,,,,,,,,,10,9.5,1.05
Cuneifolia,,,,,,,,,10,9.5,1.05
Cuneifolia,,,,,,,,,9.5,9,1.06
Cuneifolia,83,57,48,32,1.46,0.58,0.21,17,,,
Cuneifolia,75,51,46,28,1.47,0.61,0.36,15,,,
Cuneifolia,96,66,57,39,1.45,0.59,0.27,18,,,
Cuneifolia,93,59,55,30,1.58,0.59,0.24,18,,,
Cuneifolia,82,53,50,33,1.55,0.61,0.32,16,,,
Cuneifolia,89,60,44,33,1.48,0.49,0.17,19,,,
Cuneifolia,83,49,55,32,1.69,0.66,0.20,16,,,
Cuneifolia,101,55,54,31,1.84,0.53,0.19,22,,,
Cuneifolia,90,58,54,31,1.55,0.60,0.19,17,,,
Cuneifolia,104,75,52,31,1.39,0.50,0.18,20,,,
Cuneifolia,103,53,55,35,1.94,0.53,0.25,23,,,
Cuneifolia,105,75,53,36,1.40,0.50,0.21,19,,,
Cuneifolia,95,62,42,34,1.53,0.44,0.23,20,,,
Cuneifolia,113,57,58,33,1.98,0.51,0.14,20,,,
Cuneifolia,95,52,46,28,1.83,0.48,0.15,19,,,
Cuneifolia,120,74,57,33,1.62,0.48,0.21,22,,,
Cuneifolia,104,65,66,32,1.60,0.63,0.18,20,,,
Cuneifolia,97,61,41,33,1.59,0.42,0.27,19,,,
Cuneifolia,99,51,51,27,1.94,0.52,0.19,21,,,
Cuneifolia,,,,,,,,,10.5,10,1.05
Cuneifolia,,,,,,,,,9.5,10,0.95
Cuneifolia,,,,,,,,,11.5,11,1.05
Cuneifolia,,,,,,,,,12,11,1.09
Cuneifolia,,,,,,,,,11,11,1.00
Cuneifolia,,,,,,,,,11,11,1.00
Cuneifolia,,,,,,,,,9,10,0.90
Cuneifolia,,,,,,,,,10,11,0.91
Cuneifolia,,,,,,,,,11,10,1.10
Cuneifolia,,,,,,,,,9,9,1.00
Cuneifolia,,,,,,,,,10,9.5,1.05
Cuneifolia,,,,,,,,,11,10,1.10
Cuneifolia,,,,,,,,,9,9,1.00
Cuneifolia,,,,,,,,,11,10,1.10
Cuneifolia,,,,,,,,,11,10,1.10
