Species,LeafLength,LeafWidth,WidestPoint,Angle,LeafRatio,WidestPercent,Lobing,Veins,FruitLength,FruitWidth,FruitRatio
Arranensis,80,47,34,38,1.70,0.43,0.52173913,18,,,
Arranensis,73,45,37,38,1.62,0.51,0.523809524,15,,,
Arranensis,77,43,37,32,1.79,0.48,0.5,15,,,
Arranensis,63,39,32,38,1.62,0.51,0.842105263,11,,,
Arranensis,59,38,27,34,1.55,0.46,0.4,14,,,
Arranensis,81,48,35,37,1.69,0.43,0.409090909,18,,,
Arranensis,79,48,39,27,1.65,0.49,0.347826087,17,,,
Arranensis,80,43,45,36,1.86,0.56,0.5,16,,,
Arranensis,70,39,35,30,1.79,0.50,0.5,16,,,
Arranensis,72,43,36,29,1.67,0.50,0.35,16,,,
Arranensis,65,40,40,28,1.63,0.62,0.428571429,16,,,
Arranensis,75,40,30,30,1.88,0.40,0.315789474,14,,,
Arranensis,62,35,34,26,1.77,0.55,0.352941176,13,,,
Arranensis,56,30,30,30,1.87,0.54,0.285714286,15,,,
Arranensis,62,32,35,32,1.94,0.56,0.4,14,,,
Arranensis,95,53,52,34,1.79,0.55,0.36,15,,,
Arranensis,76,45,44,27,1.69,0.58,0.363636364,15,,,
Arranensis,57,30,32,30,1.90,0.56,0.2,14,,,
Arranensis,70,37,39,28,1.89,0.56,0.388888889,17,,,
Arranensis,65,44,36,38,1.48,0.55,0.5,16,,,
Arranensis,66,42,34,36,1.57,0.52,0.434782609,15,,,
Arranensis,84,52,43,30,1.62,0.51,0.36,17,,,
Arranensis,79,53,36,25,1.49,0.46,0.428571429,16,,,
Arranensis,69,40,39,27,1.73,0.57,0.454545455,15,,,
Arranensis,92,50,48,28,1.84,0.52,0.555555556,15,,,
